COUNTY,EMPLOYMENT,INCOME,LABOR_PARTICIPATION,WEIGHT,SEX,AGE
44000,-1,9999999,-1,1607.84,0,14
44000,-1,9999999,-1,1855.2,0,10
44000,-1,9999999,-1,1978.88,0,8
44000,1,54000,1,2597.28,0,38
44000,1,14300,1,4205.12,1,61
44000,0,5800,1,2844.64,1,53
44000,0,16800,0,2597.28,0,65
44000,0,6600,0,2597.28,1,59
44000,1,95100,1,1607.84,0,43
44000,0,0,0,1978.88,1,42
44000,0,1000,0,2226.24,0,16
44000,-1,600,-1,2226.24,1,15
44000,-1,9999999,-1,1978.88,0,13
44000,-1,9999999,-1,2226.24,1,11
44000,-1,9999999,-1,2597.28,1,12
44000,-1,9999999,-1,1607.84,0,4
44000,0,1000,0,1978.88,1,47
44000,1,1300,1,1978.88,1,18
44000,1,7900,1,1978.88,1,22
44000,1,35000,1,1978.88,0,30
44000,0,0,0,2226.24,1,30
44000,-1,9999999,-1,2597.28,1,8
44000,0,10200,0,2968.32,1,73
44000,0,23900,0,2597.28,0,67
44000,0,9700,0,2597.28,1,62
44000,1,50400,1,2968.32,0,50
44000,1,19900,1,3834.08,1,50
44000,1,2300,1,4576.16,0,17
44000,0,11100,0,1607.84,1,73
44000,0,9250,0,2226.24,0,79
44000,0,3850,0,1978.88,1,77
44000,0,51800,0,2597.28,0,77
44000,1,25000,1,3215.68,1,62
44000,1,28000,1,4205.12,0,36
44000,0,4000,0,2597.28,1,43
44000,0,8700,0,2226.24,1,67
44000,0,7000,0,2226.24,1,73
44000,1,47000,1,2473.6,0,41
44000,-1,9999999,-1,2349.92,1,5
44000,1,27710,1,1607.84,1,26
44000,1,51000,1,2844.64,0,45
44000,1,13300,1,1731.52,1,28
44000,-1,9999999,-1,2473.6,1,5
44000,1,35000,1,1978.88,0,72
44000,0,5900,0,1978.88,1,67
44000,0,6000,0,2597.28,1,75
44000,0,12100,0,2226.24,1,74
44000,0,3800,0,1855.2,1,89
44000,1,47000,1,3215.68,0,46
44000,1,26000,1,1607.84,1,43
44000,1,22000,1,2226.24,0,21
44000,1,35000,1,2349.92,0,42
44000,1,1700,1,2597.28,1,40
44000,-1,9999999,-1,2226.24,1,5
44000,-1,9999999,-1,2844.64,0,3
44000,0,6000,0,2349.92,1,27
44000,1,32700,1,1855.2,0,34
44000,-1,9999999,-1,2597.28,0,9
44000,-1,9999999,-1,2968.32,1,9
44000,1,51000,1,1855.2,0,49
44000,1,58000,1,2349.92,1,53
44000,1,5000,1,2968.32,1,20
44000,0,6000,1,3215.68,0,23
44000,-1,9999999,-1,3586.72,1,3
44000,-1,9999999,-1,3586.72,0,1
44000,1,60500,1,1978.88,0,57
44000,1,42000,1,1607.84,1,53
44000,0,2000,1,1236.8,1,33
44000,0,16300,0,2968.32,1,50
44000,0,10000,1,2597.28,0,52
44000,0,11240,0,3215.68,1,71
44000,1,43100,1,1978.88,0,47
44000,1,100000,1,1978.88,1,44
44000,-1,9999999,-1,1855.2,1,6
44000,1,19500,1,2226.24,1,38
44000,1,27500,1,1978.88,0,46
44000,0,5000,0,1360.48,0,18
44000,1,32000,1,1978.88,1,29
44000,1,22000,1,1978.88,1,65
44000,1,122000,1,1978.88,0,60
44000,1,56000,1,2597.28,1,57
44000,1,40100,1,1978.88,0,45
44000,1,294000,1,1607.84,1,42
44000,-1,9999999,-1,1607.84,1,11
44000,-1,9999999,-1,1607.84,1,9
44000,0,14700,0,1607.84,1,66
44000,1,46000,1,3215.68,0,23
44000,1,49000,1,3586.72,0,23
44000,0,70600,0,1360.48,0,60
44000,1,91800,1,2844.64,0,48
44000,1,40000,1,2597.28,1,45
44000,-1,9999999,-1,3834.08,1,7
44000,-1,9999999,-1,3339.36,0,5
44000,0,10000,0,1978.88,0,72
44000,0,6000,0,1978.88,1,67
44000,1,39000,1,1731.52,0,39
44000,1,44000,1,1607.84,1,33
